fecha_publicacion,fecha_larga,agno,nivel,entidad,seccion,titulo,subtitulo,descripcion,presupuesto,num_beneficiarios,link_publicacion
26/11/2019,Martes 26 de Noviembre del 2019  ,2019,Alcaldía,Tlalpan,Clima,Invierno comunitario en Tlalpan 2019,Invierno en Comunidad Tlalpan 2019,"Otorgará a 17,000 habitantes de los pueblos de San Miguel Topilejo, San Miguel Ajusco, San Miguel Xicalco, Santo Tomás Ajusco, Magdalena Petlacalco y Parres el Guarda, 10,000 cobijas a población adulta (personas mayores, y personas con discapacidad) y 7,000 chamarras a población infantil.",2801400,17000,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/e18459a5f298fb0aa4554e357e1624f3.pdf
12/12/2019,Jueves 12 de Diciembre del 2019  ,2019,Central,Instituto de la Juventud,Cultura,Jóvenes celebran Navidad en brigadas,Brigadas Jóvenes Abrazando la Navidad 2019,"Se entregarán transferencias monetarias a 500 personas jóvenes de entre 18 a 29 años, que vivan en la Ciudad de México, para colaborar en diversas actividades culturales de invierno que se realizan de la Ciudad de México. Los facilitadores de servicios se dividirán en dos tipos: beneficiarios (que recibirán $4,500 pesos) y generadores (que recibirán $5,500 pesos).",3000000,500,https://www.injuve.cdmx.gob.mx/storage/app/media/brigadas_jovenes_abrazando_la_navidad_2019.pdf
26/12/2019,Jueves 26 de Diciembre del 2019  ,2019,Alcaldía,Venustiano Carranza,Infancia,Cuidado infantil con alimentación 2020,Alimentación y Atención para la Infancia Inscrita en los Centros de Desarrollo Infantil 2020,"Otorgarán hasta 2,200 raciones alimenticias e hidratación en 19 Centros  de  Desarrollo  Infantil  (CENDIS). Además, se brindarán hasta 100 raciones de hidratación en 2 CENDIS más. Los beneficiarios serán menores de 2 a 5 años 11 meses de edad inscritos, durante el periodo de enero a diciembre.",4000000,2300,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/6db6b43155c53dbce20aa2a09e6233d0.pdf
26/12/2019,Jueves 26 de Diciembre del 2019  ,2019,Alcaldía,Venustiano Carranza,Adultos Mayores,Apoyo alimentario en Casa Arcelia,Alimentación y Atención para los Residentes de la Casa Hogar Arcelia Nuto de VillaMichel 2020,"Proporcionar alimentación diaria hasta a 30 Adultos Mayores residentes de la Casa Hogar “Arcelia Nuto de Villamichel”. Se realizará la entrega de productos perecederos y no perecederos, mismos que se preparan conforme al menú establecido, por la Jefatura de Unidad Departamental de Atención a Grupos Vulnerables y Personas Jóvenes de la Alcaldía de Venustiano Carranza, el cual será diseñado por un especialista en nutrición conforme a lo estándares requeridos para personas mayores, la elaboración se realiza por parte del personal calificado en la “Casa Hogar Arcelia Nuto de Villamichel”.",250000,30,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/6db6b43155c53dbce20aa2a09e6233d0.pdf
30/12/2019,Lunes 30 de Diciembre del 2019  ,2019,Alcaldía,Gustavo A. Madero,Alimentación,Subsidio renta para lecherías locales,Apoyo Económico para Pago de Renta de Lecherías,"Se otorgarán transferencias monetarias para el pago del arrendamiento de locales de Lecherías, ubicadas en colonias de bajo y muy bajo índice de bienestar social de la Alcaldía Gustavo A. Madero. Las beneficiarias serán al menos 4 lecherías y la meta podrá ampliarse de acuerdo con el presupuesto asignado.",320000,4,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/5eb07001e71be5bb75ae459b74ec5f3b.pdf
30/12/2019,Lunes 30 de Diciembre del 2019  ,2019,Alcaldía,Gustavo A. Madero,Infancia,Celebrando las Tradiciones GAM,Celebrando las Tradiciones GAM,"Se entregarán hasta 30,000 juguetes y dulces a niñas y niños maderenses y hasta 15,000 roscas de reyes para familias que residan en la Alcaldía Gustavo A. Madero con motivo de la celebración del Día de Reyes 2020.",18689493.31,65000,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/df48920327c401fdb786c4f9eafc52c7.pdf
31/12/2019,Martes 31 de Diciembre del 2019  ,2019,Central,Secretaría de Inclusión y Bienestar Social,Desarrollo Social,Apoyo inmediato a población vulnerable,Atención Social Inmediata a Poblaciones Prioritarias (ASIPP),"Proporcionar bienes gratuitos, transferencias monetarias y/o servicios sociales a personas que enfrenten algún tipo de discriminación, contingencias y fenómenos naturales.",198569620,,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/2c367a43322b38a30dcf160a5edf0534.pdf
31/12/2019,Martes 31 de Diciembre del 2019  ,2019,Alcaldía,Venustiano Carranza,Infancia,Juguetes entregados en Venustiano Carranza,Entrega de Juguetes a Niños y Niñas Habitantes en la Alcaldía de Venustiano Carranza en el Festejo del Día de Reyes,"Se otorgarán 11,845 juguetes didácticos, muñecas y muñecos de acción articulados, juegos de mesa y de destreza. Los juguetes serán designados de acuerdo con la edad y etapa de desarrollo de las niñas y niños, es decir preescolar edad de 0 a 5 años y escolar de 6 a 13 años.",2300000,11485,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/df48920327c401fdb786c4f9eafc52c7.pdf
6/1/2020,Lunes 6 de Enero del 2020  ,2020,Alcaldía,Tlalpan,Alimentación,Alimentos escolares durante pandemia COVID-19,Apoyo Alimentario en Tiempos del Covid-19 a Niñas y Niños de Primarias y Secundarias Públicas de Tlalpan,"Se otorgará una transferencia monetaria de $350 pesos en vales a 70,285 estudiantes, inscritos en escuelas primarias y secundarias públicas ubicadas en la Alcaldía Tlalpan",25262673,70285,http://www.tlalpan.cdmx.gob.mx/documentos/acciones-sociales/apoyo-alimentario-primaria-secundaria-covid19.pdf
9/1/2020,Jueves 9 de Enero del 2020  ,2020,Central,Secretaría de Gobierno,Seguridad,Prevención violencia con fuego comunitario,Alto al Fuego Comunitario,Se otorgarán servicios de atención en habilidades psicosociales y transferencias monetarias a 26 ususarios de los talleres sanar y Fenix,494000,26,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/dbafb32b6b077b2a1a1f206f19e10cb6.pdf
